name,url,url_resolved,homepage,favicon,country,countrycode,state,codec,bitrate,geo_lat,geo_long,Music Genre,Decade,Topic,Lang,Mood
" - DJ & CLUB CHARTS ---> Club Classics, Festival-Hits, Remixes, Single Charts, Mashups, DJ Sets, Club Edits, Dancefloor, Underground, Nightlife, Party Anthems, Ibiza, Miami, Clubbing, Festival, Remix, Mashup, DJ, EDM,  RAVE, Dance, Urban, Latin, Beachclub, Lounge",https://breakz-2012-high.rautemusik.fm/?ref=rb-djclubcharts,https://rautemusik.stream43.radiohost.de/breakz?ref=rb-djclubcharts&upd-meta=0&upd-scheme=https&_art=dD0xNzUwMDY0MTEzJmQ9NjZjZTMwMzc3NTk2MDY4NzhiOWE,https://breakz.fm/trackliste/,https://i.ibb.co/P7QHpGB/DJ-CLUB-CHARTS-LOGO.png,Germany,DE,Bavaria,MP3,192,48.139375222954875,11.565427975272248,"dance / electronic,hip hop / rap,hits,pop",,community,"english,german",party
" - NEUERSCHEINUNGEN - Radio Charts - DJ Charts - Club Charts - Top 100 - Top 40 Club - Pop, Hip-Hop, Dance, EDM, House, Techno, R&B, Trap, Reggaeton, Afrobeat, Indie-Pop, Tropical House, Future Bass, Electro Swing, Synthwave, Deep House, Progressive House, Vocal House, DJ Sets, Remix, Mashup, Dancefloor, Festival-Hits, Club-Hits, Nightlife, Underground.",https://breakz-high.rautemusik.fm/?ref=rb-neuerscheinungen,https://rautemusik.stream37.radiohost.de/breakz?ref=rb-neuerscheinungen&upd-meta=0&upd-scheme=https&_art=dD0xNzUwMDE5MzE5JmQ9NTI4NDExYTA4YTliYzM1MDkyZDI,https://www.breakz.fm/,https://i.ibb.co/7J492pjD/neuersachein.jpg,Germany,DE,North Rhine-Westphalia,MP3,192,50.896465141886814,6.988258641139763,"dance / electronic,hits,pop,soul / r&b",,,"english,german",
 # 100 NU-DISCO CENTRAL RADIO,https://stream.zeno.fm/jqhhzffjynbuv,https://stream-179.zeno.fm/jqhhzffjynbuv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiJqcWhoemZmanluYnV2IiwiaG9zdCI6InN0cmVhbS0xNzkuemVuby5mbSIsInRtIjpmYWxzZSwicnR0bCI6NSwianRpIjoieHJ1blZtdjBSaUdjZVgtTnBoZnpWUSIsImlhdCI6MTc1MDA0MDk1MCwiZXhwIjoxNzUwMDQxMDEwfQ.Kk-IFTMBCbqijRtFKGL89LXY3kaS-VOtgoh5C4OVyUI,https://zeno.fm/radio/100-nu-disco-central-radio/,https://static.wixstatic.com/media/f361b3_66f56cd8d2f44aed871cfd62bf70af65~mv2.jpg,Italy,IT,Roma,MP3,0,41.86035637336661,12.442609120127154,"dance / electronic,hits",,community,english,
 # 70s 80s 90s RdMix Network,https://cast1.torontocast.com:1830/stream,https://cast1.torontocast.com:1830/stream,https://radiodimensionemix.torontocast.stream/,,Canada,CA,Ontario,MP3,192,43.62887189047809,-79.40116589602019,"dance / electronic,hits,oldies,pop,rock","00s,70s,80s,90s","community,news,talk",english,
 # RdMix Classic Rock 70s 80s 90s,https://cast1.torontocast.com:4610/stream,https://cast1.torontocast.com:4610/stream,https://radiodimensionemix.torontocast.stream/,https://static.wixstatic.com/media/f361b3_1bad7e5fb9a54196b2ac2c2fe71d6e4f~mv2.jpg,Canada,CA,Ontario,MP3,128,43.63789777781491,-79.38755268995014,"folk / country,hits,jazz / blues,oldies,rock","60s,70s,80s,90s",community,english,
 # RdMix DJSET 70s 80s 90s,https://cast1.torontocast.com:4560/stream,https://cast1.torontocast.com:4560/stream,https://radiodimensionemix.torontocast.stream/,https://static.wixstatic.com/media/f361b3_ee09b4fc28354c5287c3be2392e0b1e3~mv2.png,Canada,CA,Ontario,MP3,128,43.639442304264115,-79.37886240880593,"dance / electronic,hip hop / rap,hits,oldies","70s,80s,90s",community,english,
 # RdMix Italo Disco 80s,https://cast1.torontocast.com:2130/stream,https://cast1.torontocast.com:2130/stream,https://radiodimensionemix.torontocast.stream/,https://static.wixstatic.com/media/f361b3_12e18c80af1f44a283eb3115b0ddd750~mv2.jpg,Canada,CA,Ontario,MP3,192,43.63981794511032,-79.3958848826397,"dance / electronic,hits,oldies",80s,community,english,
 #1 RdMix Love Songs,https://maggie.torontocast.com:2020/stream/rdmixlovesongs,https://maggie.torontocast.com:2020/stream/rdmixlovesongs,https://radiodimensionemix.torontocast.stream/,,Canada,CA,Ontario,MP3,128,43.64649616689477,-79.42021273096155,"dance / electronic,hits,oldies,pop,rock","00s,70s,80s,90s",community,english,"love,relax"
 #100 BEST IBIZA DEEP HOUSE,https://stream.zeno.fm/lwv6zqgtv1dtv,https://stream-155.zeno.fm/lwv6zqgtv1dtv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiJsd3Y2enFndHYxZHR2IiwiaG9zdCI6InN0cmVhbS0xNTUuemVuby5mbSIsInRtIjpmYWxzZSwicnR0bCI6NSwianRpIjoiZWFEclVMcFdSNlNLZXVZd2JQWjRCdyIsImlhdCI6MTc1MDA2MjM2OCwiZXhwIjoxNzUwMDYyNDI4fQ.osRYz39kTOu8tmNFvUy3rBgEK3bXWuHzGCSqACUGyMY,https://zeno.fm/radio/100-best-ibiza-deep-house-/,https://static.wixstatic.com/media/f361b3_cf8747dc2b804de09c56359c324dd1f5~mv2.jpg,Canada,CA,Ontario,MP3,0,43.75076120459581,-79.34124744351426,"dance / electronic,hits",,"community,news",english,relax
 101.9 ROCK,https://rogers-hls.leanstream.co/rogers/nor1019.stream/icy?environment=tunein&args=tunein_01,https://rogers-hls.leanstream.co/rogers/nor1019.stream/icy?environment=tunein&args=tunein_01,https://www.1019rock.ca/,,Canada,CA,Canada,AAC,198,46.318899794912994,-79.45604324340822,rock,,,english,
" 105 DIGITAL 105.3 (Aguascalientes) - 105.3 FM - XHUZ-FM - Radiogrupo - Aguascalientes, Aguascalientes",http://201.159.48.106:8080/,http://201.159.48.106:8080/,https://radiogrupo.com/105digital/,https://radiogrupo.com/wp-content/uploads/2020/06/Grupo-2882@2x-1024x687.png,Mexico,MX,"Aguascalientes, Aguascalientes",MP3,0,21.882171060607096,-102.2941303253174,"ballads,pop",,,spanish,
" 2025 FM 92.3 (Morelia) - 92.3 FM - XHLY-FM - Cadena RASA - Morelia, Michoacán",http://s4.mexside.net:7040/;,http://s4.mexside.net:7040/;,https://cadenarasa.com/michoacan/morelia/2022,https://thumbnail.anii.io/mx/radio-2024-fm-92-3-fm-michoacan-mexico.webp,Mexico,MX,"Morelia, Michoacán",MP3,128,19.703811652788747,-101.19257926940918,"hits,oldies,pop,rock",,,spanish,
 50s 60s RETRO HITS,https://stream.zeno.fm/pxzwykxbluitv,https://stream-158.zeno.fm/pxzwykxbluitv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiJweHp3eWt4Ymx1aXR2IiwiaG9zdCI6InN0cmVhbS0xNTguemVuby5mbSIsInRtIjpmYWxzZSwicnR0bCI6NSwianRpIjoiM1Q3MG5IN1hRelNHUmswSExZY3NZZyIsImlhdCI6MTc1MDA0MDM3MywiZXhwIjoxNzUwMDQwNDMzfQ.W8E6JC9furzy0QuSvSEAg3EGxCF5sra70b5gxa3vuow,https://zeno.fm/radio/50s-60s-retro-hits/,https://static.wixstatic.com/media/f361b3_ea9b293c1b80488d97f24981e7c6c1d3~mv2.jpg,Italy,IT,Lazio,MP3,0,41.35825713137815,13.34703019410145,"hits,oldies,rock","50s,60s","community,news,talk",english,
" 91.5 FM (Morelia) - XHMRL-FM - Grupo Marmor - Morelia, Michoacán",https://sp04.servidorrprivado.com/2358/stream,https://sp04.servidorrprivado.com/2358/stream,https://915fmradio.mx/,https://cdn-profiles.tunein.com/s54807/images/logod.png,Mexico,MX,"Morelia, Michoacán",MP3,128,19.703973262987247,-101.19343757629396,"hits,oldies,pop",,,"english,spanish",
" ABC DEPORTES 660 (MTY) - 660 AM - XEFZ-AM - Grupo Radio Alegría - Monterrey, Nuevo León",https://playerservices.streamtheworld.com/api/livestream-redirect/ABC_NOTICIAS_660AMAAC.aac,https://22223.live.streamtheworld.com:443/ABC_NOTICIAS_660AMAAC.aac,https://abcnoticias.mx/deportes,https://thumbnail.anii.io/mx/radio-abc-deportes-92-1-fm-660-am-mexico.webp,Mexico,MX,"Monterrey, Nuevo León",AAC+,48,25.680791667045295,-100.31659126281738,,,"news,sports","english,spanish",
" ABC NOTICIAS 1310 (MTY) - 1310 AM - XEVB-AM - Grupo Radio Alegría - Monterrey, Nuevo León",https://playerservices.streamtheworld.com/api/livestream-redirect/REGIONAL_MEXICANA_570AMAAC.aac,https://22823.live.streamtheworld.com:443/REGIONAL_MEXICANA_570AMAAC.aac,http://abcnoticias.mx/,https://grupoabcmedia.com/wp-content/uploads/2025/01/noticias.png,Mexico,MX,"Monterrey, Nuevo León",AAC+,48,25.68171989385142,-100.31538963317873,"hits,oldies,pop",,news,"english,spanish",
 ACUSTIK RADIO 1150 (CDMX) - 1150 AM - XEJP-AM - Grupo Acustik - Ciudad de México,https://server2.sit-mexico.com:2199/proxy/acustik?mp=/stream,https://server2.sit-mexico.com:2199/proxy/acustik?mp=/stream,https://acustik.mx/,https://cdn-profiles.tunein.com/s91373/images/logod.jpg,Mexico,MX,,MP3,128,19.436085975168535,-99.1377067565918,musica regionale messicana,,news,spanish,
" ADN 92.1 (Saltillo) - 92.1 FM - XHPEFQ-FM - Alas Para Las Palabras, A.C. - Saltillo, Coahuila",https://streamingcwsradio30.com/8322/stream,https://streamingcwsradio30.com/8322/stream,https://www.adnradio.com.mx/,https://cdn-profiles.tunein.com/s340643/images/logod.png,Mexico,MX,"Saltillo, Coahuila",MP3,128,25.424288975314095,-100.993709564209,"hip hop / rap,rock",,,spanish,
 ALFA 91.3 (CDMX) - 91.3 FM - XHFAJ-FM - Grupo Radio Centro - Ciudad de México,https://playerservices.streamtheworld.com/api/livestream-redirect/XHFAJ_FMAAC.aac,https://26143.live.streamtheworld.com:443/XHFAJ_FMAAC.aac,https://alfaenlinea.com/,https://i.iheart.com/v3/re/new_assets/5ef0ca067ec97a064f3322c9,Mexico,MX,Ciudad de México,AAC+,32,19.433533832191916,-99.13350105285646,"hits,rock",,,spanish,
" ALTAVOZ 89.1 (Culiacán) - 89.1 FM - XHCPCQ-FM - SPR (Sistema Público de Radiodifusión del Estado Mexicano) - Culiacán, Sinaloa",https://s2.mexside.net/8094/stream,https://s2.mexside.net/8094/stream,https://altavozradio.mx/,https://mxplus.tv/images/radio/altavoz-culiacan.jpg,Mexico,MX,"Culiacán, Sinaloa",AAC,192,24.800998592437733,-107.3929023742676,,,"education,news,philosophy",spanish,
" AMOR 100.1 (Mérida) - 100.1 FM - XHYU-FM - Grupo SIPSE Radio - Mérida, Yucatán",https://webprod.sipse.com.mx:8080/amor,https://webprod.sipse.com.mx:8080/amor,https://www.iheart.com/live/amor-1001-merida-8723/,https://cdn-profiles.tunein.com/s90994/images/logod.png,Mexico,MX,"Mérida, Yucatán",MP3,96,20.969699900317423,-89.62354660034181,"ballads,pop,rock",,,spanish,
" AMOR 101 101.3 (Guaymas) - 101.3 FM - XHFX-FM - Grupo ASVA - Guaymas, Sonora",https://sp3.servidorrprivado.com/4474/stream,https://sp3.servidorrprivado.com/4474/stream,https://amor101.com/,https://thumbnail.anii.io/mx/radio-amor-101-101-3-fm-sonora-mexico.webp,Mexico,MX,"Guaymas, Sonora",AAC+,112,27.922646641807205,-110.9000301361084,"ballads,pop,reggae / world",,,spanish,love
" AMOR 103.1 (León) - 103.1 FM - XHXF-FM - Grupo ACIR - León, Guanajuato",https://playerservices.streamtheworld.com/api/livestream-redirect/XHXFAAC.aac,https://24943.live.streamtheworld.com:443/XHXFAAC.aac,https://www.iheart.com/live/amor-1031-leon-8107/,https://i.iheart.com/v3/re/assets.streams/643dd080e2d2e0af20722663,Mexico,MX,"León, Guanajuato",AAC+,48,21.122898091480646,-101.68301582336429,"ballads,pop,reggae / world,rock",,,spanish,love
" AMOR 95.3 (San Luis Potosí) - 95.3 FM - XHNB-FM - Grupo ACIR - San Luis Potosí, San Luis Potosí",https://playerservices.streamtheworld.com/api/livestream-redirect/XHNBFMAAC.aac,https://27283.live.streamtheworld.com:443/XHNBFMAAC.aac,https://www.iheart.com/live/amor-953-san-luis-potosi-6568/,https://i.iheart.com/v3/re/new_assets/5bce05bf9803f27603c24982,Mexico,MX,"San Luis Potosí, San Luis Potosí",AAC+,48,22.15426487854331,-100.97723007202148,"ballads,pop",,,spanish,
" AMOR ES 104.5 (Aguascalientes) - 104.5 FM - XHDC-FM - Grupo Radiofónico ZER - Aguascalientes, Aguascalientes",https://cast.zuperdns.net/8026/stream/,https://cast.zuperdns.net/8026/stream/,https://grupozer.mx/portada.php?id=100,https://cdn-profiles.tunein.com/s216186/images/logod.png,Mexico,MX,"Aguascalientes, Aguascalientes",MP3,80,21.88169317911191,-102.29790687561037,"ballads,pop",,,spanish,love
" AMOR ES 95.1 (Ciudad Guzmán) - 95.1 FM - XHBC-FM - Grupo Radiofónico ZER - Ciudad Guzmán, Jalisco",https://cast.zuperdns.net/9510/stream/,https://cast.zuperdns.net/9510/stream/,https://grupozer.mx/portada.php?id=401,https://static-media.streema.com/media/cache/a8/11/a8110ce21f9a3e47cdaee0af71319321.jpg,Mexico,MX,"Ciudad Guzmán, Jalisco",MP3,40,19.701244806421247,-103.46421718597414,"ballads,pop",,,spanish,love
" AMOR ES 99.3 (Zacatecas) - 99.3 FM - XHZAZ-FM - Grupo Radiofónico ZER - Zacatecas, Zacatecas",https://cast.zuperdns.net/8002/stream/,https://cast.zuperdns.net/8002/stream/,https://grupozer.mx/portada.php?id=802,https://cdn-profiles.tunein.com/s212551/images/logod.png,Mexico,MX,"Zacatecas, Zacatecas",MP3,64,22.77646096075339,-102.57290840148929,"ballads,pop",,,spanish,love
" ARANDAS FM 107.3 (Arandas) - 107.3 FM - XHARDJ-FM - Grupo Radiofónico ZER - Arandas, Jalisco",https://live.zuperdns.net/1073/stream,https://live.zuperdns.net/1073/stream,https://grupozer.mx/portada.php?id=407,https://cdn-profiles.tunein.com/s220534/images/logod.png,Mexico,MX,"Arandas, Jalisco",MP3,40,20.707430829533493,-102.34665870666504,musica regionale messicana,,,spanish,
" ARROBA FM 101.1 (Hermosillo) - 101.1 FM - XHVSS-FM - Radiorama Sonora - Hermosillo, Sonora",https://stream.freepi.io/8402/live,https://stream.freepi.io/8402/live,https://www.arroba.fm/Hermosillo,https://thumbnail.anii.io/mx/radio-arroba-fm-101-1-fm-hermosillo-mexico.webp,Mexico,MX,"Hermosillo, Sonora",MP3,128,29.096041919083248,-110.96800804138184,"hits,pop,rock",,,spanish,
" ARROBA FM 101.7 (Piedras Negras) - 101.7 FM - XHCPN-FM - Radiorama Piedras Negras - Piedras Negras, Coahuila",https://stream.zeno.fm/p7xefup9d78uv,https://stream-157.zeno.fm/p7xefup9d78uv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiJwN3hlZnVwOWQ3OHV2IiwiaG9zdCI6InN0cmVhbS0xNTcuemVuby5mbSIsInRtIjpmYWxzZSwicnR0bCI6NSwianRpIjoicEd5eUlQWTBTRWVLWHJhaXhoaWVOUSIsImlhdCI6MTc1MDA2MDY5MywiZXhwIjoxNzUwMDYwNzUzfQ.K5OOAo_zZBiYsoWWCeJAUg5SvI0ueWs94495rNUt3z8,https://www.arroba.fm/PiedrasNegras,https://cdn-profiles.tunein.com/s249746/images/logod.png,Mexico,MX,"Piedras Negras, Coahuila",MP3,0,28.706212103016057,-100.51880836486818,"hits,pop,reggae / world,rock",,,"english,spanish",
" ARROBA FM 104.9 (Obregón) - 104.9 FM - XHESO-FM - Radiorama Sonora - Obregón, Sonora",https://stream.zeno.fm/6g9vm2ezbfhvv,https://stream-161.zeno.fm/6g9vm2ezbfhvv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiI2Zzl2bTJlemJmaHZ2IiwiaG9zdCI6InN0cmVhbS0xNjEuemVuby5mbSIsInRtIjpmYWxzZSwicnR0bCI6NSwianRpIjoidzhxV3E2b0RRcS1UeXVGcXpSM0t1QSIsImlhdCI6MTc1MDA1OTEzNiwiZXhwIjoxNzUwMDU5MTk2fQ.2FMcs3g9ELGh4LrT9rCIIC9wA_pIJ_pxbKU7ZaJ71bg,https://www.arroba.fm/Obregon,https://thumbnail.anii.io/mx/radio-arroba-fm-104-9-fm-ciudad-obregon-mexico.webp,Mexico,MX,"Ciudad Obregón, Sonora",MP3,0,27.48718696548609,-109.9369239807129,"hits,pop,rock",,,spanish,
" ARROBA FM 88.5 (Chihuahua) - 88.5 FM - XHDI-FM - Radiorama Chihuahua - Chihuahua, Chihuahua",https://stream.zeno.fm/hv5u0bg9d78uv,https://stream-154.zeno.fm/hv5u0bg9d78uv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiJodjV1MGJnOWQ3OHV2IiwiaG9zdCI6InN0cmVhbS0xNTQuemVuby5mbSIsInRtIjpmYWxzZSwicnR0bCI6NSwianRpIjoiYjFrc3J4MnRTQUNIaHQ0dmNGT1BsQSIsImlhdCI6MTc1MDA0NTQ1NSwiZXhwIjoxNzUwMDQ1NTE1fQ._9sbAmouUUbBJSUrAQ3c7UWoaDl5r-zemROEilryZkY,https://www.arroba.fm/Chihuahua,https://thumbnail.anii.io/mx/radio-arroba-fm-1360-am-chihuahua-mexico.webp,Mexico,MX,"Chihuahua, Chihuahua",MP3,0,28.63843674548642,-106.07737541198732,"hits,pop,rock",,,spanish,
" ARROBA FM 88.7 (GDL) - 88.7 FM - XHGDL-FM - Radiorama de Occidente - Guadalajara, Jalisco",https://stream.zeno.fm/es06s1g9d78uv,https://stream-156.zeno.fm/es06s1g9d78uv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiJlczA2czFnOWQ3OHV2IiwiaG9zdCI6InN0cmVhbS0xNTYuemVuby5mbSIsInRtIjpmYWxzZSwicnR0bCI6NSwianRpIjoiTEFGT3haU1JTWmFiSXR6YU96NkFtdyIsImlhdCI6MTc1MDA2MDI2MywiZXhwIjoxNzUwMDYwMzIzfQ.uwIWWUMhbadYMCh8cwAJ6Szemq_vQuUPLdrpnqkpDmw,https://arroba887.com/,https://thumbnail.anii.io/mx/radio-arroba-fm-88-7-fm-guadalajara-mexico.webp,Mexico,MX,"Guadalajara, Jalisco",MP3,0,20.674349443390476,-103.33989143371583,"hits,pop,reggae / world,rock",,,spanish,
" ARROBA FM 89.3 (Poza Rica) - 89.3 FM - XHRRR-FM - Radiorama Poza Rica - Poza Rica, Veracruz",https://stream.zeno.fm/dctbwwp9d78uv,https://stream-155.zeno.fm/dctbwwp9d78uv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiJkY3Rid3dwOWQ3OHV2IiwiaG9zdCI6InN0cmVhbS0xNTUuemVuby5mbSIsInRtIjpmYWxzZSwicnR0bCI6NSwianRpIjoib2lsN21LUkJULWlsMEZRU3ZDWFBQUSIsImlhdCI6MTc1MDA1MTU4OSwiZXhwIjoxNzUwMDUxNjQ5fQ.QMsa2pyF1WNFTxDL0xvSWeD-4Pse1Q2CeqDAhC6NOyg,https://www.arroba.fm/PozaRica,https://thumbnail.anii.io/mx/radio-arroba-fm-89-3-fm-poza-rica-mexico.webp,Mexico,MX,"Poza Rica, Veracruz",MP3,0,20.532789082779132,-97.454309463501,"hits,pop,rock",,,spanish,
" ARROBA FM 93.3 (Cuernavaca) - 93.3 FM - XHTB-FM - Radiorama Morelos - Cuernavaca, Morelos",https://stream.zeno.fm/yt2efgg9d78uv,https://stream-161.zeno.fm/yt2efgg9d78uv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiJ5dDJlZmdnOWQ3OHV2IiwiaG9zdCI6InN0cmVhbS0xNjEuemVuby5mbSIsInRtIjpmYWxzZSwicnR0bCI6NSwianRpIjoiNlJHQ3pFUWxRdGVzUlQyeHVmZ3UtQSIsImlhdCI6MTc1MDA1NjAxNiwiZXhwIjoxNzUwMDU2MDc2fQ.Y3yitkIZmGMd8avOeF1x2y94FxVcDaDMwVuwzcLPfO4,https://www.arroba.fm/Cuernavaca,https://cdn-profiles.tunein.com/s87734/images/logod.png,Mexico,MX,"Cuernavaca, Morelos",MP3,0,18.923461973971936,-99.23426628112794,"hits,pop,rock",,,spanish,
" ARROBA FM 93.5 (Tampico) - 93.5 FM - XHPP-FM - Radiorama Tamaulipas - Tampico, Tamaulipas",https://stream.zeno.fm/y57qb0p9d78uv,https://stream-153.zeno.fm/y57qb0p9d78uv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiJ5NTdxYjBwOWQ3OHV2IiwiaG9zdCI6InN0cmVhbS0xNTMuemVuby5mbSIsInRtIjpmYWxzZSwicnR0bCI6NSwianRpIjoiRFNRX1hpNW5TMy0xbFIxUFl0VE1XUSIsImlhdCI6MTc1MDAyNzQ5MiwiZXhwIjoxNzUwMDI3NTUyfQ.k4MGxQ5dPckcOH4G3_gDkzWtj-Iy8XIrsGYo4OEyDvs,https://www.arroba.fm/Tampico,https://cdn-radiotime-logos.tunein.com/s87821d.png,Mexico,MX,"Tampico, Tamaulipas",MP3,0,22.216929421339323,-97.85599708557127,"hits,pop,reggae / world,rock",,,spanish,
" ARROBA FM 95.3 (Reynosa) - 95.3 FM - XHRT-FM - Radiorama Tamaulipas - Reynosa, Tamaulipas",https://stream.zeno.fm/b04err5zfkhvv,https://stream-154.zeno.fm/b04err5zfkhvv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiJiMDRlcnI1emZraHZ2IiwiaG9zdCI6InN0cmVhbS0xNTQuemVuby5mbSIsInRtIjpmYWxzZSwicnR0bCI6NSwianRpIjoiUWQwTVlYazZRTy1Zakx3NXBIaU5FQSIsImlhdCI6MTc1MDA1MTExNywiZXhwIjoxNzUwMDUxMTc3fQ.sL08RbIYnBHTMeghkzPkWnyyNeRK-wWlW4SSwMyak28,https://www.arroba.fm/Reynosa,https://thumbnail.anii.io/mx/radio-arroba-fm-95-3-fm-reynosa-mexico.webp,Mexico,MX,"Reynosa, Tamaulipas",MP3,0,26.090941029106716,-98.2814598083496,"hits,pop,reggae / world,rock",,,"english,spanish",
" ARROBA FM 96.1 (Puebla) - 96.1 FM - XHEZAR-FM - Radiorama Puebla - Puebla, Puebla",https://stream.zeno.fm/pfyc6yp9d78uv,https://stream-154.zeno.fm/pfyc6yp9d78uv?zt=eyJhbGciOiJIUzI1NiJ9.eyJzdHJlYW0iOiJwZnljNnlwOWQ3OHV2IiwiaG9zdCI6InN0cmVhbS0xNTQuemVuby5mbSIsInRtIjpmYWxzZSwicnR0bCI6NSwianRpIjoiV0RIRjNfYTFTQ2lTSWEtNElGa3dPdyIsImlhdCI6MTc1MDA1NTc0MCwiZXhwIjoxNzUwMDU1ODAwfQ.egIWrWDP9wIprh0qk6VjL3xDDajVM9qTZn6wP5eLxLA,https://www.arroba.fm/Puebla,https://thumbnail.anii.io/mx/radio-arroba-fm-96-1-fm-puebla-mexico.webp,Mexico,MX,"Puebla, Puebla",MP3,0,19.045167136747004,-98.19906234741212,"hits,pop,reggae / world,rock",,,spanish,
